"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "JSON", "TypeScript JSX", "Markdown", "PostCSS", "Prisma", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\audit-area.controller.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\audit-area.service.ts", "TypeScript", 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 189
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\control.controller.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\control.service.ts", "TypeScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 229
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\evidence.controller.ts", "TypeScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 131
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\evidence.service.ts", "TypeScript", 0, 367, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58, 426
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\finding.controller.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\finding.service.ts", "TypeScript", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 226
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\process.controller.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\process.service.ts", "TypeScript", 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 215
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\test-step.controller.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\src\projects\structure\test-step.service.ts", "TypeScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 238
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\tsconfig.build.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\tsconfig.eslint.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ckris\Desktop\Darbai\apms\apps\api\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\README.md", "Markdown", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\next.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3351, 0, 0, 898, 4249
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\pnpm-workspace.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\account\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 43, 331
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\admin\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\admin\users-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 31, 301
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\admin\users\[id]\block\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\admin\users\[id]\route.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\admin\users\[id]\unblock\route.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\admin\users\route.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\audit-areas\[areaId]\processes\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\audit-areas\[areaId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\controls\[controlId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\controls\[controlId]\test-steps\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\evidence\[evidenceId]\files\route.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\evidence\[evidenceId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\evidence\files\[fileId]\route.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\findings\[findingId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\processes\[processId]\controls\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\processes\[processId]\evidence\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\processes\[processId]\findings\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\processes\[processId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\audit-areas\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\audit\route.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\members\[memberId]\roles\[roleId]\route.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\members\[memberId]\roles\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\members\[memberId]\route.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\members\route.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\remove-ownership\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\report\route.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\roles\[roleId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 106
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\roles\route.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 73
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\route.ts", "TypeScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 97
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\structure\item\[nodeType]\[itemId]\route.ts", "TypeScript", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 125
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\structure\item\route.ts", "TypeScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 102
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\structure\route.ts", "TypeScript", 0, 304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 333
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\[id]\transfer-ownership\route.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\projects\route.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\api\test-steps\[stepId]\route.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 100
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\login\2fa\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 33, 239
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\login\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 19, 134
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\audit-preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 1, 16, 137
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 27, 281
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\create-component\create-component-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 876, 0, 0, 0, 0, 0, 0, 100, 976
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\create-component\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\delete-project-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 17, 139
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 10, 114
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\evidence-files-panel.tsx", "TypeScript JSX", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 0, 24, 199
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\generate-report-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 12, 94
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\members.tsx", "TypeScript JSX", 0, 0, 0, 0, 316, 0, 0, 0, 0, 0, 1, 41, 358
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 35, 251
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\project-structure-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 993, 0, 0, 0, 0, 0, 1, 85, 1079
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\roles\[roleId]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 10, 72
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\roles\create\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\roles\delete-role-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 15, 130
"c:\Users\ckris\Desktop\Darbai\apms\apps\web\src\app\projects\[id]\roles\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 18, 144
